"STAID","STANAME","CN","LAT","LON","HGHT","minyear","maxyear"
2397,"DWINGELO                                    ","NL","+52:49:00","+006:25:00",12,1904,2025
2398,"EDAM                                        ","NL","+52:31:00","+005:03:00",0,1910,2025
2399,"EEMNES                                      ","NL","+52:16:59","+005:16:59",0,1905,2025
2400,"EENRUM                                      ","NL","+53:22:00","+006:28:00",1,1919,2025
2401,"EERBEEK                                     ","NL","+52:07:00","+006:04:00",15,1950,2025
2402,"EERNEWOUDE                                  ","NL","+53:07:59","+005:57:00",0,1950,2025
2403,"EERSEL                                      ","NL","+51:21:00","+005:15:00",30,1950,2025
2404,"ELSPEET                                     ","NL","+52:16:59","+005:46:59",34,1866,2025
2405,"EMMEN                                       ","NL","+52:46:59","+006:52:59",24,1950,2025
2406,"ENSCHEDE                                    ","NL","+52:12:00","+006:55:00",46,1941,2025
2407,"EPE                                         ","NL","+52:21:00","+006:00:00",9,1866,2025
2408,"EPEN (L)                                    ","NL","+50:46:00","+005:54:00",155,1950,2025
2409,"EZINGE                                      ","NL","+53:16:59","+006:27:00",0,1950,2025
2410,"EZUMAZIJL                                   ","NL","+53:22:00","+006:09:00",1,1892,2025
2411,"FINSTERWOLDE                                ","NL","+53:12:00","+007:06:00",1,1905,2025
2412,"FORMERUM                                    ","NL","+53:24:00","+005:18:00",0,1875,2025
2413,"FREDERIKSOORD                               ","NL","+52:51:00","+006:12:00",3,1904,2025
2414,"GELDERMALSEN                                ","NL","+51:52:00","+005:16:00",4,1897,2025
2415,"GEMERT                                      ","NL","+51:33:00","+005:40:59",13,1868,2025
2416,"GENDRINGEN                                  ","NL","+51:52:00","+006:21:00",14,1899,2025
2417,"GIERSBERGEN                                 ","NL","+51:39:00","+005:09:00",6,1871,2025
2418,"GIETERVEEN                                  ","NL","+53:01:59","+006:51:00",0,1923,2025
2419,"GIETHOORN                                   ","NL","+52:43:00","+006:04:00",-1,1941,2025
2420,"GINNEKEN                                    ","NL","+51:33:00","+004:45:00",5,1866,2025
2421,"GOEDEREEDE                                  ","NL","+51:49:00","+003:58:00",0,1894,2025
2422,"GORINCHEM                                   ","NL","+51:49:59","+004:58:59",0,1873,2025
2423,"GORREDIJK                                   ","NL","+53:00:00","+006:04:00",0,1885,2025
2424,"GOUDA                                       ","NL","+52:01:00","+004:43:00",-1,1931,2025
2425,"HAMERSVELD                                  ","NL","+52:07:59","+005:25:00",2,1880,2025
2426,"HARDERWIJK                                  ","NL","+52:22:00","+005:37:00",2,1919,2025
2427,"HARLINGEN                                   ","NL","+53:10:59","+005:25:59",0,1920,2025
2428,"HARSKAMP                                    ","NL","+52:09:00","+005:43:59",19,1950,2025
2429,"HEEG                                        ","NL","+52:58:00","+005:36:00",-1,1950,2025
2430,"HEEMSTEDE                                   ","NL","+52:21:00","+004:37:59",-3,1866,2025
2431,"HEIBLOEM (L)                                ","NL","+51:16:59","+005:54:00",29,1868,2025
2432,"HEILOO                                      ","NL","+52:36:00","+004:43:59",-1,1866,2025
2433,"HELLENDOORN                                 ","NL","+52:22:59","+006:27:00",10,1950,2025
2434,"HENDRIK IDO AMBACHT                         ","NL","+51:49:59","+004:39:00",0,1931,2025
2435,"HENGELO                                     ","NL","+52:04:00","+006:18:00",11,1950,2025
2436,"HENGELO (O)                                 ","NL","+52:16:00","+006:46:00",15,1904,2025
2437,"HERBAYUM                                    ","NL","+53:10:59","+005:30:00",0,1878,2025
2438,"HERWEN                                      ","NL","+51:52:59","+006:06:00",13,1868,2025
2439,"HEUMEN                                      ","NL","+51:46:00","+005:49:59",9,1950,2025
2440,"HOLLUM                                      ","NL","+53:25:59","+005:37:59",1,1950,2025
2441,"HOLTEN                                      ","NL","+52:18:00","+006:28:00",16,1904,2025
2442,"HONSELERSDIJK                               ","NL","+52:00:00","+004:15:00",0,1902,2025
2443,"HOOGKARSPEL                                 ","NL","+52:40:59","+005:10:00",0,1873,2025
2444,"HOOGWOUD                                    ","NL","+52:43:59","+004:58:00",0,1882,2025
2445,"HULSHORST                                   ","NL","+52:22:00","+005:42:00",4,1919,2025
2447,"IJSSELSTEYN (L)                             ","NL","+51:28:59","+005:52:59",30,1950,2025
2448,"JOURE                                       ","NL","+52:58:00","+005:49:00",0,1885,2025
2449,"KAPELLE                                     ","NL","+51:28:59","+003:57:00",0,1866,2025
2450,"KATWIJK AAN DEN RIJN                        ","NL","+52:10:59","+004:25:00",7,1876,2025
2451,"KLOOSTERZANDE                               ","NL","+51:22:59","+004:01:59",0,1904,2025
2452,"KOLHORN                                     ","NL","+52:46:59","+004:54:00",-1,1905,2025
2453,"KOLLUM                                      ","NL","+53:16:59","+006:07:59",0,1892,2025
2454,"KOOTWIJK                                    ","NL","+52:10:59","+005:49:59",39,1950,2025
2455,"KORNWERDERZAND                              ","NL","+53:04:00","+005:19:59",3,1950,2025
2456,"KORTGENE                                    ","NL","+51:34:00","+003:49:59",0,1866,2025
2457,"KRABBENDIJKE                                ","NL","+51:25:59","+004:05:59",0,1904,2025
2458,"KREILEROORD                                 ","NL","+52:52:00","+005:06:00",1,1939,2025
2459,"KUINRE                                      ","NL","+52:46:59","+005:51:00",5,1941,2025
2460,"LAAGHALEN                                   ","NL","+52:55:00","+006:31:59",15,1950,2025
2461,"LAREN                                       ","NL","+52:15:00","+005:12:00",15,1905,2025
2462,"LEENDE                                      ","NL","+51:19:59","+005:31:59",25,1950,2025
2463,"LEIDEN                                      ","NL","+52:07:59","+004:28:59",0,1931,2025
2464,"LICHTENVOORDE                               ","NL","+52:00:00","+006:34:00",19,1879,2025
2466,"LIJNDEN (NH)                                ","NL","+52:21:00","+004:45:00",-4,1866,2025
2467,"LISSE                                       ","NL","+52:16:00","+004:33:00",5,1866,2025
2468,"LOCHEM                                      ","NL","+52:09:00","+006:22:59",12,1950,2025
2469,"LUNTEREN                                    ","NL","+52:04:59","+005:36:00",13,1950,2025
2470,"MAARHEEZE                                   ","NL","+51:18:00","+005:34:59",28,1950,2025
2471,"MAASLAND                                    ","NL","+51:58:00","+004:15:00",-1,1902,2025
2472,"MARUM                                       ","NL","+53:09:00","+006:16:59",2,1904,2025
2473,"MEGEN                                       ","NL","+51:49:00","+005:34:00",5,1943,2025
2474,"MIDDELBURG                                  ","NL","+51:28:59","+003:36:00",0,1854,2025
2475,"MIDDELSTUM                                  ","NL","+53:19:00","+006:37:00",0,1950,2025
2476,"MILL                                        ","NL","+51:40:59","+005:48:00",16,1886,2025
2477,"NAGELE                                      ","NL","+52:37:00","+005:43:00",-4,1912,2025
2478,"NES (AMELAND)                               ","NL","+53:27:00","+005:46:00",3,1882,2025
2479,"NIEKERK                                     ","NL","+53:13:00","+006:21:00",0,1904,2025
2480,"NIEUW BUINEN                                ","NL","+52:58:00","+006:57:00",6,1890,2025
2481,"NIEUW HELVOET                               ","NL","+51:49:59","+004:07:00",0,1894,2025
2482,"NIEUWENDIJK (NB)                            ","NL","+51:46:00","+004:55:59",0,1873,2025
2483,"NIEUWOLDA                                   ","NL","+53:15:00","+006:58:59",-1,1884,2025
