"STAID","STANAME","CN","LAT","LON","HGHT","minyear","maxyear"
20522,"GOES                                        ","NL","+51:30:02","+003:52:59",0,1866,2025
20523,"GRAVENZANDE 'S                              ","NL","+52:00:56","+004:09:29",-999,1866,2025
20524,"GROEDE                                      ","NL","+51:22:41","+003:30:29",1,1854,2025
20525,"GROSTHUIZEN                                 ","NL","+52:36:52","+004:58:32",-2,1882,2025
20526,"HAAMSTEDE (VUURTOREN)                       ","NL","+51:42:00","+003:42:00",-999,1866,2025
20527,"HALLUM FR                                   ","NL","+53:18:00","+005:46:27",1,1875,2025
20528,"HARREVELD                                   ","NL","+51:58:44","+006:30:54",19,1940,2025
20529,"HATERT                                      ","NL","+51:48:00","+005:49:59",-999,1866,2025
20530,"HATTEM                                      ","NL","+52:27:00","+006:04:00",-999,1924,2025
20531,"HEERENBERG 'S                               ","NL","+51:52:45","+006:14:30",-999,1932,2025
20532,"HEERENVEEN                                  ","NL","+52:57:42","+005:55:13",0,1885,2025
20534,"HELENAVEEN                                  ","NL","+51:23:35","+005:54:23",-999,1909,2025
20535,"HELLEVOETSLUIS                              ","NL","+51:49:49","+004:07:05",-999,1879,2025
20536,"HEMBRUG                                     ","NL","+52:25:08","+004:49:39",1,1866,2025
20537,"HIEN                                        ","NL","+51:54:37","+005:39:54",6,1879,2025
20538,"HILVERSUM                                   ","NL","+52:12:56","+005:09:01",-999,1898,2025
20539,"HOENDERLOO                                  ","NL","+52:06:00","+005:54:00",-999,1903,2025
20540,"HOORN TERSCHELLING                          ","NL","+53:23:51","+005:20:30",-10,1875,2025
20541,"HORST                                       ","NL","+51:27:33","+006:36:39",23,1875,2025
20542,"IJMUIDEN                                    ","NL","+52:27:42","+004:34:57",0,1880,2025
20543,"IJZENDIJKE                                  ","NL","+51:19:54","+003:36:55",-999,1879,2025
20544,"KADIJK BIJ TERWOLDE                         ","NL","+52:15:52","+006:38:15",3,1904,2025
20545,"KAMPEN                                      ","NL","+52:34:41","+005:51:29",-999,1880,2025
20546,"KAMPEREILAND                                ","NL","+52:35:07","+005:53:26",0,1912,2025
20547,"KILDER (GEM. BERGH)                         ","NL","+51:56:13","+006:13:51",16,1868,2025
20548,"KOEDIJK                                     ","NL","+52:39:00","+004:45:00",-999,1937,2025
20549,"KOOTWIJK                                    ","NL","+52:10:00","+005:46:59",-999,1903,2025
20550,"KRAGGENBURG                                 ","NL","+52:40:14","+005:55:53",5,1912,2025
20551,"LAGE ZWALUWE                                ","NL","+51:42:00","+004:39:00",-999,1926,2025
20552,"LEERSUM                                     ","NL","+52:08:12","+005:25:41",9,1880,2025
20553,"LEEUWARDEN                                  ","NL","+53:12:09","+005:48:02",0,1875,2025
20554,"LELYSTAD                                    ","NL","+52:30:00","+005:25:00",-999,1954,2025
20555,"LEMMER TACOZIJL                             ","NL","+52:50:51","+005:40:45",-6,1879,2025
20556,"LOBITH                                      ","NL","+51:51:42","+006:07:09",15,1868,2025
20557,"LOTTUM                                      ","NL","+51:27:41","+006:09:51",-999,1928,2025
20558,"MAASTRICHT (HELMSTRAAT)                     ","NL","+50:49:59","+005:40:59",-999,1852,2025
20559,"MANDER                                      ","NL","+52:27:36","+006:50:08",37,1940,2025
20560,"MARKEN (OUD)                                ","NL","+52:27:33","+005:06:00",8,1931,2025
20561,"MEPPEL                                      ","NL","+52:40:45","+006:11:03",-999,1887,2025
20562,"MIDSLAND                                    ","NL","+53:22:00","+005:16:59",-999,1885,2025
20563,"NAALDWIJK                                   ","NL","+51:59:16","+004:12:24",7,1902,2025
20564,"NIEUW BEERTA                                ","NL","+53:11:26","+007:09:29",-10,1905,2025
20565,"NIEUW EN SINT JOOSTLAND                     ","NL","+51:28:00","+003:40:59",-999,1879,2025
20567,"NIEUWVEEN ZH                                ","NL","+52:12:11","+004:45:47",-999,1902,2025
20568,"NIEUWVLIET                                  ","NL","+51:22:21","+003:28:17",1,1854,2025
20569,"NIJBROEK                                    ","NL","+52:16:59","+006:04:59",-999,1932,2025
20572,"NUNSPEET                                    ","NL","+52:22:48","+005:46:54",6,1866,2025
20573,"OBDAM (OUD)                                 ","NL","+52:40:00","+004:55:59",-999,1934,2025
20574,"OLDEBROEK (DORP)                            ","NL","+52:26:26","+005:54:09",-999,1924,2025
20575,"OLDENZAAL                                   ","NL","+52:18:29","+006:55:23",-999,1867,2025
20576,"OOSTDIJK BIJ OUDDORP                        ","NL","+51:49:46","+003:57:51",3,1894,2025
20577,"OOSTERLAND                                  ","NL","+52:55:57","+005:58:59",1,1885,2025
20578,"OOSTKAPELLE                                 ","NL","+51:33:47","+003:33:05",-999,1866,2025
20579,"ORANJE NASSAU'S OORD/RENK                   ","NL","+51:58:00","+005:43:00",-999,1866,2025
20580,"OSSENISSE                                   ","NL","+51:23:22","+003:58:50",0,1904,2025
20581,"OTERDUM                                     ","NL","+53:18:42","+006:59:51",0,1904,2025
20582,"OUD-ADE                                     ","NL","+52:11:34","+004:33:56",-999,1930,2025
20583,"OUD-BEIJERLAND                              ","NL","+51:48:00","+004:28:00",-999,1911,2025
20584,"OUD-HEUSDEN                                 ","NL","+51:43:31","+005:07:41",-999,1867,2025
20585,"OUDESCHOOT                                  ","NL","+52:55:59","+005:58:30",0,1885,2025
20586,"OUDORP                                      ","NL","+52:36:33","+004:46:28",0,1866,2025
20587,"POORTVLIET                                  ","NL","+51:33:37","+004:09:15",0,1924,2025
20588,"R'DAM-WESTERKADE                            ","NL","+51:53:44","+004:28:59",-999,1890,2025
20589,"RIJSWIJK GLD                                ","NL","+51:57:36","+005:21:15",4,1897,2025
20590,"RIJSWIJK ZH                                 ","NL","+52:03:42","+004:21:06",-999,1906,2025
20591,"ROCKANJE                                    ","NL","+51:54:56","+004:50:38",2,1881,2025
20593,"ROTTERDAM (BLIJDORP)                        ","NL","+51:55:31","+004:27:06",-1,1908,2025
20594,"ROTTERDAM KEILEHAVEN                        ","NL","+51:54:00","+004:25:59",-999,1890,2025
20595,"ROTTUM FR                                   ","NL","+52:55:54","+005:52:53",0,1885,2025
20596,"RUINEN                                      ","NL","+52:46:08","+006:20:26",-999,1887,2025
20597,"SASSENHEIM                                  ","NL","+52:13:14","+004:33:28",-41,1866,2025
20598,"SCHEEMDA                                    ","NL","+53:10:00","+006:58:00",-999,1917,2025
20599,"SCHERMERHORN                                ","NL","+52:36:00","+004:54:00",-999,1937,2025
20601,"SCHOORL                                     ","NL","+52:41:57","+004:41:36",10,1866,2025
20602,"SINT JACOBIPAROCHIE                         ","NL","+53:16:26","+005:36:11",0,1878,2025
20603,"SINT JANSTEEN                               ","NL","+51:15:38","+004:29:35",2,1911,2025
20604,"SITTARD                                     ","NL","+51:00:00","+005:50:47",-999,1897,2025
20605,"SLEEUWIJK                                   ","NL","+51:49:01","+004:56:57",0,1873,2025
20606,"SLIJK-EWIJK                                 ","NL","+51:53:08","+005:47:29",-999,1866,2025
20607,"SLUIS                                       ","NL","+51:18:24","+003:23:26",-999,1879,2025
20608,"SOESTERBERG                                 ","NL","+52:07:45","+005:16:45",119,1866,2025
20609,"SPIJK GR                                    ","NL","+53:23:21","+006:50:44",1,1950,2025
20610,"SPIJKENISSE                                 ","NL","+51:50:44","+004:19:41",-999,1890,2025
20611,"ST ANNALAND                                 ","NL","+51:35:44","+004:04:45",10,1924,2025
20612,"STAPHORST                                   ","NL","+52:38:53","+006:13:00",1,1934,2025
20613,"SUSTEREN                                    ","NL","+51:38:20","+005:50:53",30,1886,2025
20614,"TEN BOER                                    ","NL","+53:15:51","+006:40:30",0,1846,2025
20615,"TER IDZARD                                  ","NL","+52:54:59","+006:20:39",0,1904,2025
20616,"TEXEL (WESTERMIENT)                         ","NL","+53:39:33","+004:45:55",0,1906,2025
20617,"ULRUM                                       ","NL","+53:23:20","+006:18:20",13,1892,2025
20618,"URK                                         ","NL","+52:39:29","+005:36:11",-999,1932,2025
20619,"URK                                         ","NL","+52:40:00","+005:36:00",-999,1932,2025
20620,"VARSSEVELD                                  ","NL","+51:56:47","+006:27:19",-999,1866,2025
20621,"VASSE                                       ","NL","+52:26:02","+006:49:59",35,1940,2025
20622,"VELDHOVEN                                   ","NL","+51:24:51","+005:24:59",-999,1929,2025
20624,"VELSEN                                      ","NL","+52:28:12","+004:38:30",3,1880,2025
20625,"VENRAY (OUD)                                ","NL","+51:31:59","+005:48:00",-999,1886,2025
20626,"VLAARDINGEN                                 ","NL","+51:54:00","+004:19:59",-999,1890,2025
20627,"VOORSCHOTEN                                 ","NL","+52:07:00","+004:27:00",-999,1906,2025
20628,"VUGHT                                       ","NL","+51:39:32","+005:18:29",-999,1920,2025
20629,"WAALWIJK                                    ","NL","+51:41:44","+005:04:09",-999,1867,2025
20630,"WAGENINGEN                                  ","NL","+51:58:12","+005:39:24",6,1879,2025
20632,"WARNSVELD                                   ","NL","+52:09:00","+006:13:59",-999,1888,2025
20633,"WASSENAAR                                   ","NL","+52:08:51","+004:23:35",5,1876,2025
20634,"WASSENAAR-WEST                              ","NL","+52:08:51","+004:23:35",-999,1906,2025
20635,"WEHL                                        ","NL","+51:57:45","+006:12:39",14,1886,2025
20636,"WEMELDINGE                                  ","NL","+51:31:03","+003:59:08",-999,1881,2025
20637,"WERKENDAM                                   ","NL","+51:48:29","+004:53:39",-999,1889,2025
20638,"WESTERSCHOUWEN                              ","NL","+51:40:30","+003:43:23",-999,1866,2025
20639,"WESTFRIESESLUIS                             ","NL","+52:46:00","+004:55:00",-999,1934,2025
20640,"WIERINGEN                                   ","NL","+52:52:46","+004:59:06",0,1939,2025
20641,"WIERINGERWERF                               ","NL","+52:51:29","+005:02:43",-999,1931,2025
20642,"WIJSTER                                     ","NL","+52:48:00","+006:30:00",-999,1891,2025
20644,"WITMARSUM                                   ","NL","+53:06:42","+006:06:06",-999,1917,2025
20645,"WITTEVEEN                                   ","NL","+52:46:59","+006:21:15",-999,1887,2025
20646,"WOENSDRECHT                                 ","NL","+51:25:39","+004:18:32",10,1905,2025
20648,"ZAANDAM                                     ","NL","+52:26:31","+004:49:15",0,1866,2025
20649,"ZEIJEN                                      ","NL","+53:03:09","+006:32:35",101,1913,2025
20650,"ZEVENHUIZEN GR                              ","NL","+53:07:28","+006:20:51",3,1904,2025
20652,"ZUID-SCHARWOUDE                             ","NL","+52:41:48","+004:49:26",-1,1866,2025
20653,"ZUIDBARGE                                   ","NL","+52:45:24","+006:54:11",-999,1898,2025
20654,"ZUIDBROEK                                   ","NL","+53:10:08","+006:51:43",1,1884,2025
20655,"ZUTPHEN                                     ","NL","+52:09:06","+006:13:23",-999,1888,2025
